product_id,product_name,category_id
FUR-BO-10001798,Bush Somerset Collection Bookcase,1
FUR-BO-10001798,Bush Somerset Collection Bookcase,2
FUR-BO-10001798,Bush Somerset Collection Bookcase,4
FUR-BO-10001798,Bush Somerset Collection Bookcase,6
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",4
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",6
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,3
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,5
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,7
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,9
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,10
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,11
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,13
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,15
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,2
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,4
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,6
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,3
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,5
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,7
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,9
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,10
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,11
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,13
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,14
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,15
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",1
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",2
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",4
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6
OFF-AR-10002833,Newell 322,3
OFF-AR-10002833,Newell 322,5
OFF-AR-10002833,Newell 322,7
OFF-AR-10002833,Newell 322,9
OFF-AR-10002833,Newell 322,10
OFF-AR-10002833,Newell 322,11
OFF-AR-10002833,Newell 322,13
OFF-AR-10002833,Newell 322,14
OFF-AR-10002833,Newell 322,15
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,8
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,12
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,16
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,17
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,3
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,5
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,7
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,9
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,10
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,11
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,13
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,14
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,15
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,3
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,5
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,7
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,9
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,10
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,11
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,13
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,14
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,15
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,2
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,4
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,6
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,8
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,12
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,16
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,17
OFF-PA-10002365,Xerox 1967,3
OFF-PA-10002365,Xerox 1967,5
OFF-PA-10002365,Xerox 1967,7
OFF-PA-10002365,Xerox 1967,9
OFF-PA-10002365,Xerox 1967,10
OFF-PA-10002365,Xerox 1967,11
OFF-PA-10002365,Xerox 1967,13
OFF-PA-10002365,Xerox 1967,14
OFF-PA-10002365,Xerox 1967,15
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,3
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,5
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,7
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,9
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,10
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,11
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,13
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,14
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,15
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",3
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",7
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",9
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",10
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",11
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",13
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",14
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",15
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,3
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,5
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,7
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,9
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,10
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,11
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,13
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,14
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,15
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",3
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",5
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",7
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",9
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",10
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",11
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",14
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",15
OFF-ST-10000107,Fellowes Super Stor/Drawer,3
OFF-ST-10000107,Fellowes Super Stor/Drawer,5
OFF-ST-10000107,Fellowes Super Stor/Drawer,7
OFF-ST-10000107,Fellowes Super Stor/Drawer,9
OFF-ST-10000107,Fellowes Super Stor/Drawer,10
OFF-ST-10000107,Fellowes Super Stor/Drawer,11
OFF-ST-10000107,Fellowes Super Stor/Drawer,13
OFF-ST-10000107,Fellowes Super Stor/Drawer,14
OFF-ST-10000107,Fellowes Super Stor/Drawer,15
OFF-AR-10003056,Newell 341,3
OFF-AR-10003056,Newell 341,5
OFF-AR-10003056,Newell 341,7
OFF-AR-10003056,Newell 341,9
OFF-AR-10003056,Newell 341,10
OFF-AR-10003056,Newell 341,11
OFF-AR-10003056,Newell 341,13
OFF-AR-10003056,Newell 341,14
OFF-AR-10003056,Newell 341,15
TEC-PH-10001949,Cisco SPA 501G IP Phone,8
TEC-PH-10001949,Cisco SPA 501G IP Phone,12
TEC-PH-10001949,Cisco SPA 501G IP Phone,16
TEC-PH-10001949,Cisco SPA 501G IP Phone,17
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",3
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",5
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",7
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",9
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",10
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",11
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",13
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",14
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",15
OFF-AR-10000246,Newell 318,3
OFF-AR-10000246,Newell 318,5
OFF-AR-10000246,Newell 318,7
OFF-AR-10000246,Newell 318,9
OFF-AR-10000246,Newell 318,10
OFF-AR-10000246,Newell 318,11
OFF-AR-10000246,Newell 318,13
OFF-AR-10000246,Newell 318,14
OFF-AR-10000246,Newell 318,15
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",3
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",5
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",7
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",9
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",10
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",11
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",13
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",14
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",15
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",1
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",2
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",4
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",6
OFF-BI-10001634,Wilson Jones Active Use Binders,3
OFF-BI-10001634,Wilson Jones Active Use Binders,5
OFF-BI-10001634,Wilson Jones Active Use Binders,7
OFF-BI-10001634,Wilson Jones Active Use Binders,9
OFF-BI-10001634,Wilson Jones Active Use Binders,10
OFF-BI-10001634,Wilson Jones Active Use Binders,11
OFF-BI-10001634,Wilson Jones Active Use Binders,13
OFF-BI-10001634,Wilson Jones Active Use Binders,14
OFF-BI-10001634,Wilson Jones Active Use Binders,15
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,8
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,12
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,16
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,17
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",6
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,3
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,5
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,7
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,10
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,11
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,13
