Row_ID,Product_ID,Order_ID
1,FUR-BO-10001798,CA-2016-152156
2,FUR-CH-10000454,CA-2016-152156
3,OFF-LA-10000240,CA-2016-138688
4,FUR-TA-10000577,US-2015-108966
5,OFF-ST-10000760,US-2015-108966
6,FUR-FU-10001487,CA-2014-115812
7,OFF-AR-10002833,CA-2014-115812
8,TEC-PH-10002275,CA-2014-115812
9,OFF-BI-10003910,CA-2014-115812
10,OFF-AP-10002892,CA-2014-115812
11,FUR-TA-10001539,CA-2014-115812
12,TEC-PH-10002033,CA-2014-115812
13,OFF-PA-10002365,CA-2017-114412
14,OFF-BI-10003656,CA-2016-161389
15,OFF-AP-10002311,US-2015-118983
16,OFF-BI-10000756,US-2015-118983
17,OFF-ST-10004186,CA-2014-105893
18,OFF-ST-10000107,CA-2014-167164
19,OFF-AR-10003056,CA-2014-143336
20,TEC-PH-10001949,CA-2014-143336
21,OFF-BI-10002215,CA-2014-143336
22,OFF-AR-10000246,CA-2016-137330
23,OFF-AP-10001492,CA-2016-137330
24,FUR-CH-10002774,US-2017-156909
25,FUR-TA-10000577,CA-2015-106320
26,OFF-BI-10001634,CA-2016-121755
27,TEC-AC-10003027,CA-2016-121755
28,FUR-BO-10004834,US-2015-150630
29,OFF-BI-10000474,US-2015-150630
30,FUR-FU-10004848,US-2015-150630
31,OFF-EN-10001509,US-2015-150630
32,OFF-AR-10004042,US-2015-150630
33,OFF-BI-10001525,US-2015-150630
34,OFF-AR-10001683,US-2015-150630
35,OFF-PA-10000249,CA-2017-107727
36,TEC-PH-10004977,CA-2016-117590
37,FUR-FU-10003664,CA-2016-117590
38,OFF-EN-10002986,CA-2015-117415
39,FUR-BO-10002545,CA-2015-117415
40,FUR-CH-10004218,CA-2015-117415
41,TEC-PH-10000486,CA-2015-117415
42,TEC-PH-10004093,CA-2017-120999
43,OFF-ST-10003479,CA-2016-101343
44,OFF-ST-10003282,CA-2017-139619
45,TEC-AC-10000171,CA-2016-118255
46,OFF-BI-10003291,CA-2016-118255
47,OFF-ST-10001713,CA-2014-146703
48,TEC-AC-10002167,CA-2016-169194
49,TEC-PH-10003988,CA-2016-169194
50,OFF-BI-10004410,CA-2015-115742
51,OFF-LA-10002762,CA-2015-115742
52,FUR-FU-10001706,CA-2015-115742
53,FUR-CH-10003061,CA-2015-115742
54,OFF-FA-10000304,CA-2016-105816
55,TEC-PH-10002447,CA-2016-105816
56,OFF-ST-10000604,CA-2016-111682
57,OFF-PA-10001569,CA-2016-111682
58,FUR-CH-10003968,CA-2016-111682
59,OFF-PA-10000587,CA-2016-111682
60,TEC-AC-10002167,CA-2016-111682
61,OFF-BI-10001460,CA-2016-111682
62,OFF-AR-10001868,CA-2016-111682
63,TEC-AC-10004633,CA-2015-135545
64,OFF-BI-10001078,CA-2015-135545
65,OFF-PA-10003892,CA-2015-135545
66,FUR-FU-10000397,CA-2015-135545
67,FUR-CH-10001146,US-2015-164175
68,OFF-AR-10002671,CA-2014-106376
69,TEC-PH-10002726,CA-2014-106376
70,OFF-PA-10000482,CA-2016-119823
71,OFF-BI-10004654,CA-2016-106075
72,OFF-PA-10004675,CA-2017-114440
73,FUR-CH-10000513,US-2015-134026
74,FUR-FU-10003708,US-2015-134026
75,OFF-ST-10004123,US-2015-134026
76,OFF-BI-10004182,US-2017-118038
77,FUR-FU-10000260,US-2017-118038
78,OFF-ST-10000615,US-2017-118038
79,FUR-FU-10003194,US-2014-147606
80,OFF-AP-10002118,CA-2016-127208
81,OFF-BI-10002309,CA-2016-127208
82,OFF-AR-10002053,CA-2014-139451
83,OFF-ST-10002370,CA-2014-139451
84,OFF-EN-10000927,CA-2015-149734
85,OFF-ST-10003656,US-2017-119662
86,FUR-CH-10000863,CA-2017-140088
87,TEC-AC-10001998,CA-2017-155558
88,OFF-LA-10000134,CA-2017-155558
89,OFF-ST-10003442,CA-2016-159695
90,OFF-AR-10004930,CA-2016-109806
91,TEC-PH-10004093,CA-2016-109806
92,OFF-PA-10000304,CA-2016-109806
93,OFF-PA-10003177,CA-2015-149587
94,FUR-FU-10003799,CA-2015-149587
95,OFF-BI-10002852,CA-2015-149587
96,OFF-BI-10004738,US-2017-109484
97,FUR-FU-10000629,CA-2017-161018
98,OFF-BI-10001721,CA-2017-157833
99,OFF-AP-10000358,CA-2016-149223
100,OFF-PA-10003256,CA-2016-158568
101,TEC-AC-10001767,CA-2016-158568
102,OFF-BI-10002609,CA-2016-158568
103,OFF-PA-10004040,CA-2016-129903
104,TEC-AC-10001552,US-2015-156867
105,FUR-FU-10004006,US-2015-156867
106,OFF-BI-10002794,US-2015-156867
107,TEC-AC-10003499,CA-2017-119004
108,TEC-PH-10002844,CA-2017-119004
109,OFF-AR-10000390,CA-2017-119004
110,TEC-AC-10000844,CA-2015-129476
111,FUR-FU-10001934,CA-2017-146780
112,OFF-AR-10000380,CA-2016-128867
113,OFF-BI-10003981,CA-2016-128867
114,OFF-FA-10000621,CA-2014-115259
115,OFF-EN-10002600,CA-2014-115259
116,OFF-PA-10004965,CA-2014-115259
117,OFF-EN-10002504,CA-2014-115259
118,FUR-TA-10001768,CA-2015-110457
119,OFF-BI-10003650,US-2015-136476
120,FUR-FU-10002157,CA-2016-103730
121,OFF-BI-10003910,CA-2016-103730
122,OFF-ST-10000777,CA-2016-103730
123,OFF-EN-10002500,CA-2016-103730
124,TEC-PH-10003875,CA-2016-103730
125,FUR-CH-10004063,US-2014-152030
126,FUR-TA-10004534,US-2014-134614
127,OFF-BI-10003274,US-2017-107272
128,OFF-ST-10002974,US-2017-107272
129,FUR-CH-10001146,US-2016-125969
130,FUR-FU-10003773,US-2016-125969
131,TEC-PH-10002293,US-2017-164147
132,OFF-PA-10002377,US-2017-164147
133,OFF-FA-10002780,US-2017-164147
134,OFF-PA-10001804,CA-2016-145583
135,OFF-PA-10001736,CA-2016-145583
136,OFF-AR-10001149,CA-2016-145583
137,OFF-FA-10002988,CA-2016-145583
138,OFF-BI-10004781,CA-2016-145583
139,OFF-SU-10001218,CA-2016-145583
140,FUR-FU-10001706,CA-2016-145583
141,FUR-FU-10004848,CA-2016-110366
142,OFF-AR-10000940,CA-2017-106180
143,OFF-EN-10004030,CA-2017-106180
144,OFF-PA-10004327,CA-2017-106180
145,OFF-AP-10001058,CA-2017-155376
146,OFF-ST-10003656,CA-2015-110744
147,FUR-FU-10000521,CA-2014-110072
148,TEC-PH-10000215,CA-2016-114489
149,TEC-PH-10001448,CA-2016-114489
150,FUR-CH-10000454,CA-2016-114489
151,OFF-BI-10002735,CA-2016-114489
152,OFF-AP-10000326,CA-2016-158834
153,TEC-PH-10001254,CA-2016-158834
154,OFF-PA-10001950,CA-2015-124919
155,OFF-PA-10002254,CA-2015-124919
156,OFF-ST-10001590,CA-2015-124919
157,OFF-AR-10001547,CA-2015-118948
158,FUR-CH-10004063,CA-2014-104269
159,OFF-LA-10002475,CA-2016-114104
160,TEC-PH-10004536,CA-2016-114104
161,OFF-PA-10002751,CA-2016-162733
162,TEC-AC-10003657,CA-2015-119697
163,OFF-EN-10001990,CA-2016-154508
